sample_id,label,n_events,n_nodes,n_edges,build_time_s,peak_memory_kb
03a991abf1d5ed653b489401e0ec723d12d789361140651317ae6eef8a78f4f7,Emotet,213,149,213,0.000316,
03b9ca41b285fe1d8df46669bb5a171550094fda52288785364be502c247d8b1,Emotet,269,189,269,0.000421,
03f71deb268b05b6dc853ecc986c5084237961ccfee6daa07895284e422de3f7,Emotet,23,15,23,0.000048,
03fc6715b461d307b957af2b08e67054d7476656371453b46a40621e45608c0c,Trickbot,9,9,9,0.000026,
0402b7840cb84f989cc27fa2961b94d1d09db53f28847dc5f1b72f3eea8ac03b,Emotet,313,208,313,0.000450,
040d552a43aafa999966d83112314440c24614cca37d3a4ce28c02de39e90555,Emotet,10,9,10,0.000023,
0422867dd94337b594e9f628f441dd4b89763843341e3ea196c1d6c69b2869fe,Emotet,252,179,252,0.000390,
042dac105c4a0e4981ff7937d8708e2abbc0b8e1a81212ce960a1fcc7f52c84f,Emotet,54,33,54,0.000074,
044b4d07ad21f470daccbf82659184d39ea7303fb8b023c4391d7009d5ad7e18,Emotet,954,925,954,0.001570,262
044bb6db2b029d7f3da17d05724635014c62c8c8677d215f8b1a97ef2ba01135,Trickbot,82,62,82,0.000118,
0461aa0599350c6436dc06a68464d2b8883948a4cbe218d47fa920f72790cb5a,Emotet,948,922,948,0.001600,
049da69b18561fda1af28c4877c2b687de86eaa2046abe00e029203715436f50,Trickbot,1708,1020,1708,0.002635,
04a1122634f539374cc0ca6fcbddf0b62910f9566c359056bbc917cccb2e470d,Trickbot,1892,1230,1892,0.003274,
04ae44bda66764ae7be5e25f0fa3131092ded126cc17abe95c06074428588ff3,Trickbot,1914,1225,1914,0.003052,
04bc2f297863c48b713c308bd94f5da12139bec9b3e715d826e0627b8ced026b,Emotet,169,138,169,0.000302,
04fc7a5e9d0f158883589a5fae04898457e45b1954c0ad1a258a23e2868b3b56,Trickbot,77,56,77,0.000112,
052440306d91b6c1b4879e29c5c58decb1882a956505c201afc2cea0c92c5306,Emotet,342,203,342,0.000541,
054e8c2e3683b4462f8b207204d5ea17d13420559fdd5fd1023c7ca5b3f5713b,Emotet,312,191,312,0.000458,
055df4fc0137572d4f97645631b7a15dc8cf98ebceea0a757dcb78e89b8e2f62,Emotet,245,182,245,0.000446,52
056238933be0f947227cfc51770174b3dac3dee1664d885ae36408f1327c0554,Trickbot,173,78,173,0.000267,
05685ade469732a21e6ecead1739304c430e24e117a373a7914ff6d640601b20,Emotet,267,176,267,0.000456,
056ab24dad93ccc896a2512db5d44ac5600023e423a53bd3f42f5ebe430f40a5,Trickbot,17,18,17,0.000033,
0570ca85151b4d5e845b3e1aabbb91b32ad76cbb9a30cce5868dbac2c42668ce,Trickbot,342,254,342,0.000631,
059859dc694ff578115941107b38f82b7502f600d6e8b7aaca92f09d2c9b3737,Trickbot,44,35,44,0.000067,
05a0973200482b51f5b2816fc638c788e2998c18ab4e5a8bc5750fba062f95ad,Emotet,207,155,207,0.000286,
05ce6cd231b77cdab89525d196da055d62aae9993cd94d5e76f6b847a3c56d68,Emotet,299,226,299,0.000501,
05cfbd523312c3003ca39a13bc1380a9b1219514bf3419687267d1069a2a5a1f,Trickbot,1219,785,1219,0.001806,
05db3ab0f2b93563cb17aa398b58ef8d004fbf94ec85e5fb11215652ed4ced3c,Emotet,264,189,264,0.000480,
05df98517a24830de58bd7f12d1d88dab5c1413e6c9348d0370bb085e0d510d5,Trickbot,60,48,60,0.000114,13
05f1888c69e1f085791c326b46fe6261c62ad9044eeba7903e7c60e936a878f5,Trickbot,43,36,43,0.000075,
05f34d505c93afa13cd6ac3c3e9866a055acf1c6f1a8feec1d5ab58192c4183e,Emotet,361,241,361,0.000537,
06091350a00cf184289619a1277b945184d9ecfc81c4098cc82e58c60124698d,Emotet,282,185,282,0.000394,
0627c165dda4bb91daf45cecbc6209498ca69cb4a20a0862e37362250511c4b7,Emotet,990,933,990,0.001641,
0653417cf6538b75a5689b4f35d1d3188e3ada3f91aa290c6247bdf2ce120ca5,Trickbot,8,8,8,0.000020,
0684e38e4a9a711b8d2c37a80501ded80b818402b5ccd7e81893b7cb9996d7a6,Trickbot,100,85,100,0.000162,
06879b3f5a600a821a8d6976285170eb09c0549005d96321a0e799ae74582f59,Emotet,161,133,161,0.000227,
069ac0b81c552fba6ab768759249691d407ad8b67a98bf82548a951f468f629b,Trickbot,150,61,150,0.000221,
06a14416c212b364f191329231b3acabd950edb7f45122954125cab6bdba7d1e,Trickbot,54,42,54,0.000079,
06aa935fd55f07ea6fae581f84ab637a335e1a1f2b0c42e5fc1bc8d682323f19,Trickbot,1884,1231,1884,0.003081,420
06d2d72b10b512bf9321d7c731010d337dbce1743c29f2276f62f915055b4738,Emotet,206,152,206,0.000292,
06e24d161fc386279c871fd4fa5cf1998753420fafb4e50cd8754d0854692973,Emotet,1001,947,1001,0.001631,
06eabd9eb34e688b7e3aaa4e12210e14ecc4cced6023a0c9ada41ae7188e2cee,Emotet,14,10,14,0.000031,
06f44e55ba534e19745590f03cc7cc89a8bb74fa0a84fb6432d7c40f11098110,Trickbot,127,96,127,0.000192,
06fc21ab8354c6f6012ecc23d1c5fda1f8cb0be3b474a96da9587c6cadba99f6,Trickbot,50,43,50,0.000076,
06fcbcc6a44febc634f2c2e2777f46390f81931fd81e737cee01238e114d9f88,Emotet,1075,983,1075,0.001779,
0702ddf073512858b1e42b5832d8268ee37a882c1950332622dcb2828340685c,Trickbot,102,72,102,0.000156,
071dc51f8b1b27481b540c597ee9aa95f9d2bffde6bb9cfb3958ab0f94ed1f0c,Emotet,84,55,84,0.000120,
072579a56afb289dfc918b64cdc42d3d6271f4874b2a1fbec9a834f7dbd93678,Trickbot,108,84,108,0.000172,
07258c4529914f1ef6f2e71ce2f1b886d15945bf22163f2341fc2470ad7201ad,Emotet,1117,983,1117,0.001921,293
07273c1b826c0468154f9bddc9c0aa74cc5eef24ba8d2d9279c17b26041f987d,Emotet,149,130,149,0.000230,
07325112f54386be95d7e21520ecb5ce43b53d15f5bfdae50588dbb18a3b80bc,Emotet,1055,977,1055,0.002076,
074c96c9a658d5c4ddd57dcef7f66aec7ee0573e80425e177d1d41c2b9214630,Emotet,63,47,63,0.000102,
0762341765da20c1a74893f075fd0281e62140076e6c1055339ed0fde46bc4a6,Trickbot,409,83,409,0.000456,
076e8ad159d8bacb34a1583ac256ce241cae859d1081bdb66edcf32c763b35b7,Emotet,252,180,252,0.000359,
0770888c725d44a0c80613875726214745b060e622b5d95caaa54ce5f80adafc,Trickbot,98,66,98,0.000177,
07834e61a189ee1593205ff37d1c829ae0022b2f1c7efb137ecd70f09c399c37,Emotet,169,141,169,0.000302,
079abae48ab8953e193dfc9164a5e445631fa480fb7d5c7065dea99049e3d51d,Emotet,478,216,478,0.000621,
07b7caa5db564ebb9c851033132d46c251de86ac5f1f4e77225d960aba0b60b0,Trickbot,75,48,75,0.000125,
07deb1b8a86d2a4c7a3015899383dcc4c15dfadcfafc3f2b8d1e3aa89a6c7ac4,Emotet,261,179,261,0.000391,54
07e4308c0cca6cdb4bf8c78b0d134474e0d631c00a36dcdedfcd4654eb932070,Emotet,270,186,270,0.000440,
07ead11d006acee61c8831e6c711048ed7dc6fcf525ab8ffeb10bac24bb677d1,Emotet,2,3,2,0.000010,
07ee440c02863990aa804fe41894616f5a660a07cea93bf9f4e21b379637cd04,Emotet,371,193,371,0.000523,
081e75a17cb23246148ea751acc68eb08db6a40d8c10a55918437333a4a117b3,Emotet,50,31,50,0.000070,
08454b87b73d6fe3dee51beeb0b0ebfb1e60d167ec673b3f66f45123c76e8dc1,Trickbot,1946,1279,1946,0.003077,
08579577b5fff2e15b273e7d7d54f16388a7659c11b292ae9b1859f23c80dfd2,Trickbot,142,70,142,0.000186,
085aaca2b38c9a2d2819b78b7249f119d1d832d4849b70f202068609328384b2,Emotet,984,943,984,0.002053,
0866cc3aa6d11885b40d4007b516c711bf70b6d31a9f569270a79c10761541a7,Trickbot,1816,1234,1816,0.003076,
086752c8d8911ec50fdb57f0ec8966060df3dbbeb4b4984fd4f34e3f7be63c58,Trickbot,50,39,50,0.000087,
0869565ff7a141148eb6a7efbab97e1b0ebb2e8cf2b1453cf859ec2aee9bb1bb,Trickbot,1843,1224,1843,0.003214,415
086c170f80ebdb01ae39a519616f35ba20c41f1dd081b760848fcf09c442ad44,Trickbot,1974,1273,1974,0.003422,
08785596a6ca87f8c0e1680158d43a796a5eb46638b7db630316e90c61425c1a,Emotet,1050,976,1050,0.001773,
087a3b05ec86549e917bd467e7e2e3279a482c0a1a7a95477c427ae16fc37116,Emotet,270,184,270,0.000374,
0886c8847bfdb542b719041aca2a8752da6cbe7fef7c3be95e3a23282fb48f9c,Emotet,27,20,27,0.000048,
088b4d8ebe67af29336b5522b715519db998a182094daaac1b38ffefdd89407c,Trickbot,100,60,100,0.000137,
089cfc055904027a5b158e8a212991f8e626a72727f28c6d1bae6894d49a3783,Emotet,1083,982,1083,0.002045,
08a9e89aec0b980483857312be4e2e9cec9e85dbabed079e6bf3b463043a8da7,Trickbot,43,36,43,0.000067,
08cc2e439e77c636e82a3699e689769353208c11f2728da1a1de0ded3895ac23,Emotet,1416,982,1416,0.002154,
08da56664b084f30304036e059428a558983a4cb87c2bb231ee3dcf36546de7b,Trickbot,1933,1247,1933,0.003173,
08e795c7c1ca0894539ad964a8880d8a39d6f3ae7d2b13e850c4289cf5227017,Emotet,174,137,174,0.000253,37
08fbb1efcd5bef2304f2e735796b0fd0b0fe1e43f4d9a7829065ce9d041b5837,Emotet,203,148,203,0.000285,
0920691d8b7aa2e330bc01ba20957563c722f98752854390264b04047b4bd614,Emotet,262,184,262,0.000357,
092327fdc6f126a4701a06808143a943d871193aef6bbd960efe5e3af14c91ab,Trickbot,54,42,54,0.000119,
096d6b182764f03c9bec2751900a92cf36ed8939762878c6c6191379324c2471,Trickbot,8,8,8,0.000023,
0994bb41dd3026dde4fe84ee99701874ba9b137456f9606fda01dd4af0c08fce,Trickbot,54,42,54,0.000080,
09b86a0074e9d9978ad26e09e4b6ab5523fd4ecdf81bfed90680cf89fbd9fdc5,Trickbot,17,17,17,0.000032,
09c24934bcd14cd9b3398fba53b0150ed5fe8fc3ea0008dea0a04b35570bfb45,Trickbot,16,13,16,0.000034,
09cfedf71f63832489e2c20079a643afdb793da852c0859e1587527e39fb7c24,Trickbot,43,36,43,0.000066,
09ee64eab7082f31aa4fd0ea9a8053d0e1485b20441ca4c62a1d02fa74d79da6,Emotet,191,152,191,0.000333,
09f0e8f41f2edc6f2fcb1130dfce6fda5e8f2762c7e3c40b72bf743374818033,Emotet,273,185,273,0.000473,55
